USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
4,3.4233,5,5,3,4,3,5
1,1.2183,2,1,4,1,1,1
4,4.7472,4,5,5,4,5,4
5,4.8584,4,4,5,4,5,5
3,3.0117,4,3,1,2,4,4
5,4.9448,5,5,4,5,5,5
4,4.4355,5,4,3,4,5,4
5,4.6243,5,5,4,4,5,4
5,4.9565,4,4,5,5,5,4
5,5.1336,5,5,5,5,5,5
3,4.115,5,4,3,3,5,3
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,3.9443,4,5,5,5,3,5
2,2.507,2,5,2,2,3,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
4,3.5005,4,5,3,2,4,5
4,3.7874,4,5,4,3,4,4
5,5.1336,5,5,5,5,5,5
3,4.3038,5,5,4,3,5,3
4,4.7355,5,5,4,4,5,5
4,3.9967,4,4,4,4,4,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.5584,4,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
5,4.4355,5,5,3,4,5,4
3,3.3238,4,4,4,4,3,3
5,5.0224,5,5,5,5,5,4
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
4,4.3374,5,5,3,3,5,5
4,4.1079,4,5,4,4,4,5
5,5.1336,5,5,5,5,5,5
5,4.7677,4,5,4,5,5,4
5,5.1336,5,5,5,5,5,5
5,4.6243,5,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
5,4.8789,4,4,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.6243,5,4,4,4,5,4
5,4.9243,5,5,5,4,5,5
5,4.6243,5,4,4,4,5,4
5,4.9243,5,5,5,4,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9565,4,4,5,5,5,4
4,4.206,4,5,4,5,4,4
5,4.8336,5,5,4,5,5,4
5,5.1336,5,5,5,5,5,5
5,4.5584,4,5,4,4,5,4
5,4.6813,3,5,5,4,5,4
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.7355,5,4,4,4,5,5
5,4.8789,4,4,4,5,5,5
5,4.6696,4,4,4,4,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
1,0.6519,2,3,1,1,1,1
5,5.1336,5,5,5,5,5,5
5,4.9565,4,4,5,5,5,4
5,4.8336,5,4,4,5,5,4
1,1.978,4,5,4,4,1,1
5,4.8336,5,4,4,5,5,4
3,3.2462,4,4,3,4,3,4
4,4.1079,4,4,4,4,4,5
5,4.9565,4,4,5,5,5,4
5,4.8336,5,4,4,5,5,4
4,4.4472,4,5,4,4,5,3
5,5.1336,5,5,5,5,5,5
5,4.8,5,5,5,5,5,2
4,4.1943,5,5,3,5,4,5
5,3.9967,4,5,4,4,4,4
5,5.1336,5,5,5,5,5,5
3,3.8167,5,3,1,5,4,5
1,1.4042,4,3,2,2,1,3
5,4.9448,5,5,4,5,5,5
4,4.7677,4,4,4,5,5,4
5,5.1336,5,5,5,5,5,5
5,4.8336,5,4,4,5,5,4
5,4.6696,4,4,4,4,5,5
5,4.7677,4,5,4,5,5,4
5,4.3172,4,4,4,5,4,5
5,4.756,5,5,3,5,5,5
5,4.6243,5,5,4,4,5,4
5,4.9565,4,4,5,5,5,4
5,4.8584,4,4,5,4,5,5
5,5.1336,5,5,5,5,5,5
4,3.8079,4,4,3,4,4,4
2,2.9052,4,4,4,2,3,3
3,2.2729,3,3,1,2,3,3
5,4.9448,5,5,4,5,5,5
4,4.8336,5,4,4,5,5,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
